qua 26 jan 2022 22:02:36 -03
Population 1 Fitness -62373 Error 2.727
Population 2 Fitness -61918 Error 4.545
Population 3 Fitness -61850 Error 3.333
Population 4 Fitness -61907 Error 3.333
Population 5 Fitness -61686 Error 3.030
Population 6 Fitness -61491 Error 3.333
Population 7 Fitness -61120 Error 2.727
Population 8 Fitness -60950 Error 3.333
Population 9 Fitness -60632 Error 3.333
Population 10 Fitness -60708 Error 3.030
Population 11 Fitness -60538 Error 2.424
Population 12 Fitness -60254 Error 3.636
Population 13 Fitness -60135 Error 2.727
Population 14 Fitness -59716 Error 2.727
Population 15 Fitness -59813 Error 3.030
Population 16 Fitness -59723 Error 2.727
Population 17 Fitness -59530 Error 2.727
Population 18 Fitness -58993 Error 3.333
Population 19 Fitness -59029 Error 3.636
Population 20 Fitness -59029 Error 3.333
Population 21 Fitness -59077 Error 3.333
Population 22 Fitness -58968 Error 3.333
Population 23 Fitness -58766 Error 3.333
Population 24 Fitness -58557 Error 3.030
Population 25 Fitness -58399 Error 2.727
Population 26 Fitness -58131 Error 3.333
Population 27 Fitness -58014 Error 2.424
Population 28 Fitness -58091 Error 3.939
Population 29 Fitness -57790 Error 3.333
Population 30 Fitness -57733 Error 3.333
Population 31 Fitness -57508 Error 3.333
Population 32 Fitness -57498 Error 3.636
Population 33 Fitness -57408 Error 3.636
Population 34 Fitness -57350 Error 3.030
Population 35 Fitness -56890 Error 2.727
Population 36 Fitness -56844 Error 3.333
Population 37 Fitness -56812 Error 3.333
Population 38 Fitness -56744 Error 3.636
Population 39 Fitness -56632 Error 2.424
Population 40 Fitness -56574 Error 3.030
Population 41 Fitness -56255 Error 3.636
Population 42 Fitness -56334 Error 3.030
Population 43 Fitness -56216 Error 3.030
Population 44 Fitness -56025 Error 3.939
Population 45 Fitness -55947 Error 4.545
Population 46 Fitness -55917 Error 3.636
Population 47 Fitness -55838 Error 3.636
Population 48 Fitness -55418 Error 3.636
Population 49 Fitness -55361 Error 3.333
Population 50 Fitness -55408 Error 2.727
Population 51 Fitness -55396 Error 3.030
Population 52 Fitness -55418 Error 3.939
Population 53 Fitness -55237 Error 3.939
Population 54 Fitness -55128 Error 3.939
Population 55 Fitness -55213 Error 3.333
Population 56 Fitness -55325 Error 3.030
Population 57 Fitness -55266 Error 3.333
Population 58 Fitness -55333 Error 3.030
Population 59 Fitness -55124 Error 2.424
Population 60 Fitness -54874 Error 2.727
Population 61 Fitness -54656 Error 3.030
Population 62 Fitness -54751 Error 3.636
Population 63 Fitness -54766 Error 3.030
Population 64 Fitness -54799 Error 3.030
Population 65 Fitness -54794 Error 4.242
Population 66 Fitness -54945 Error 3.636
Population 67 Fitness -54653 Error 3.636
Population 68 Fitness -54788 Error 3.333
Population 69 Fitness -54576 Error 3.636
Population 70 Fitness -54588 Error 3.333
Population 71 Fitness -54416 Error 3.333
Population 72 Fitness -54479 Error 3.333
Population 73 Fitness -54523 Error 3.939
Population 74 Fitness -54228 Error 3.333
Population 75 Fitness -54023 Error 3.939
Population 76 Fitness -54552 Error 3.636
Population 77 Fitness -54159 Error 3.636
Population 78 Fitness -53915 Error 3.636
Population 79 Fitness -54032 Error 3.333
Population 80 Fitness -53851 Error 3.636
Population 81 Fitness -53626 Error 3.333
Population 82 Fitness -53839 Error 3.636
Population 83 Fitness -53717 Error 3.333
Population 84 Fitness -53938 Error 3.333
Population 85 Fitness -53664 Error 3.636
Population 86 Fitness -53626 Error 3.030
Population 87 Fitness -53518 Error 2.727
Population 88 Fitness -53288 Error 3.939
Population 89 Fitness -53470 Error 3.030
Population 90 Fitness -53452 Error 2.727
Population 91 Fitness -53401 Error 3.333
Population 92 Fitness -53190 Error 3.333
Population 93 Fitness -53312 Error 3.636
Population 94 Fitness -52985 Error 3.030
Population 95 Fitness -53159 Error 3.333
Population 96 Fitness -53179 Error 3.636
Population 97 Fitness -52741 Error 3.636
Population 98 Fitness -52708 Error 3.030
Population 99 Fitness -52781 Error 2.727
Population 100 Fitness -52707 Error 3.030
Population 101 Fitness -52605 Error 3.636
Population 102 Fitness -52742 Error 3.636
Population 103 Fitness -52636 Error 3.030
Population 104 Fitness -52623 Error 3.333
Population 105 Fitness -52527 Error 3.636
Population 106 Fitness -52434 Error 2.727
Population 107 Fitness -52192 Error 2.727
Population 108 Fitness -52412 Error 3.636
Population 109 Fitness -52291 Error 2.424
Population 110 Fitness -52378 Error 2.727
Population 111 Fitness -52355 Error 3.030
Population 112 Fitness -52242 Error 3.333
Population 113 Fitness -52204 Error 2.424
Population 114 Fitness -52323 Error 3.333
Population 115 Fitness -52180 Error 3.333
Population 116 Fitness -52165 Error 3.333
Population 117 Fitness -52255 Error 3.636
Population 118 Fitness -52044 Error 2.424
Population 119 Fitness -52130 Error 3.333
Population 120 Fitness -52183 Error 3.636
Population 121 Fitness -52263 Error 2.424
Population 122 Fitness -52130 Error 3.030
Population 123 Fitness -52450 Error 3.030
Population 124 Fitness -52266 Error 3.939
Population 125 Fitness -51985 Error 2.727
Population 126 Fitness -51864 Error 3.636
Population 127 Fitness -51708 Error 3.636
Population 128 Fitness -51799 Error 3.030
Population 129 Fitness -51778 Error 2.424
Population 130 Fitness -51679 Error 3.636
Population 131 Fitness -51840 Error 2.424
Population 132 Fitness -51825 Error 3.333
Population 133 Fitness -51659 Error 3.030
Population 134 Fitness -51554 Error 3.333
Population 135 Fitness -51703 Error 3.939
Population 136 Fitness -51268 Error 3.030
Population 137 Fitness -51433 Error 4.242
Population 138 Fitness -51408 Error 4.545
Population 139 Fitness -51486 Error 3.030
Population 140 Fitness -51445 Error 3.333
Population 141 Fitness -51532 Error 3.636
Population 142 Fitness -51152 Error 3.939
Population 143 Fitness -51299 Error 3.333
Population 144 Fitness -51326 Error 2.727
Population 145 Fitness -51124 Error 4.242
Population 146 Fitness -51328 Error 3.636
Population 147 Fitness -51365 Error 3.333
Population 148 Fitness -51322 Error 3.939
Population 149 Fitness -51201 Error 3.636
Population 150 Fitness -51223 Error 3.939
Population 151 Fitness -50942 Error 3.333
Population 152 Fitness -50836 Error 3.939
Population 153 Fitness -50864 Error 3.939
Population 154 Fitness -50963 Error 3.939
Population 155 Fitness -51035 Error 2.727
Population 156 Fitness -51057 Error 3.333
Population 157 Fitness -50911 Error 3.030
Population 158 Fitness -50743 Error 3.333
Population 159 Fitness -50865 Error 3.333
Population 160 Fitness -50698 Error 3.030
Population 161 Fitness -50889 Error 2.424
Population 162 Fitness -50773 Error 3.333
Population 163 Fitness -50952 Error 2.424
Population 164 Fitness -50879 Error 3.333
Population 165 Fitness -50888 Error 3.333
Population 166 Fitness -50699 Error 3.333
Population 167 Fitness -50746 Error 2.424
Population 168 Fitness -51048 Error 2.727
Population 169 Fitness -51007 Error 1.212
Population 170 Fitness -51098 Error 2.424
Population 171 Fitness -50633 Error 2.121
Population 172 Fitness -50694 Error 3.030
Population 173 Fitness -50709 Error 2.424
Population 174 Fitness -50552 Error 3.030
Population 175 Fitness -50703 Error 2.121
Population 176 Fitness -50611 Error 2.727
Population 177 Fitness -50673 Error 2.424
Population 178 Fitness -50476 Error 2.121
Population 179 Fitness -50574 Error 3.333
Population 180 Fitness -50359 Error 2.424
Population 181 Fitness -50173 Error 2.424
Population 182 Fitness -50413 Error 2.727
Population 183 Fitness -50248 Error 2.424
Population 184 Fitness -50077 Error 3.333
Population 185 Fitness -50086 Error 3.030
Population 186 Fitness -50345 Error 2.727
Population 187 Fitness -50259 Error 2.424
Population 188 Fitness -50288 Error 2.424
Population 189 Fitness -50206 Error 3.333
Population 190 Fitness -50057 Error 3.030
Population 191 Fitness -50050 Error 2.727
Population 192 Fitness -50213 Error 2.121
Population 193 Fitness -50461 Error 2.121
Population 194 Fitness -50155 Error 2.727
Population 195 Fitness -50339 Error 1.515
Population 196 Fitness -50114 Error 3.030
Population 197 Fitness -50076 Error 3.030
Population 198 Fitness -49971 Error 2.424
Population 199 Fitness -49994 Error 2.121
Population 200 Fitness -49858 Error 2.727
Population 201 Fitness -49904 Error 1.818
Population 202 Fitness -49916 Error 2.727
Population 203 Fitness -49826 Error 3.030
Population 204 Fitness -49780 Error 2.727
Population 205 Fitness -50030 Error 1.818
Population 206 Fitness -49830 Error 2.121
Population 207 Fitness -49737 Error 3.030
Population 208 Fitness -49566 Error 2.424
Population 209 Fitness -49785 Error 3.030
Population 210 Fitness -49580 Error 2.121
Population 211 Fitness -49571 Error 1.818
Population 212 Fitness -49535 Error 3.030
Population 213 Fitness -49792 Error 2.727
Population 214 Fitness -49758 Error 2.727
Population 215 Fitness -49855 Error 3.333
Population 216 Fitness -49526 Error 2.727
Population 217 Fitness -49274 Error 4.242
Population 218 Fitness -49249 Error 3.030
Population 219 Fitness -49416 Error 3.636
Population 220 Fitness -48977 Error 3.636
Population 221 Fitness -49279 Error 3.939
Population 222 Fitness -49258 Error 2.121
Population 223 Fitness -49208 Error 3.333
Population 224 Fitness -49175 Error 2.424
Population 225 Fitness -49274 Error 3.030
Population 226 Fitness -49170 Error 3.333
Population 227 Fitness -49360 Error 3.030
Population 228 Fitness -49132 Error 2.121
Population 229 Fitness -48991 Error 2.121
Population 230 Fitness -49155 Error 3.030
Population 231 Fitness -48761 Error 2.121
Population 232 Fitness -48881 Error 2.424
Population 233 Fitness -48989 Error 4.242
Population 234 Fitness -48916 Error 3.333
Population 235 Fitness -48721 Error 3.030
Population 236 Fitness -48842 Error 3.333
Population 237 Fitness -49030 Error 3.030
Population 238 Fitness -48748 Error 2.727
Population 239 Fitness -48945 Error 2.727
Population 240 Fitness -49069 Error 3.333
Population 241 Fitness -49100 Error 2.727
Population 242 Fitness -49161 Error 1.818
Population 243 Fitness -49203 Error 3.333
Population 244 Fitness -49108 Error 3.030
Population 245 Fitness -49176 Error 1.818
Population 246 Fitness -49138 Error 2.727
Population 247 Fitness -49051 Error 2.727
Population 248 Fitness -49039 Error 2.727
Population 249 Fitness -49091 Error 2.424
Population 250 Fitness -48875 Error 2.121
Population 251 Fitness -48797 Error 2.727
Population 252 Fitness -48967 Error 2.424
Population 253 Fitness -48930 Error 2.424
Population 254 Fitness -48868 Error 2.727
Population 255 Fitness -48809 Error 2.121
Population 256 Fitness -48922 Error 2.121
Population 257 Fitness -48800 Error 2.424
Population 258 Fitness -48690 Error 1.818
Population 259 Fitness -48772 Error 2.424
Population 260 Fitness -48793 Error 2.121
Population 261 Fitness -48622 Error 2.424
Population 262 Fitness -48696 Error 2.424
Population 263 Fitness -48667 Error 1.818
Population 264 Fitness -48647 Error 2.727
Population 265 Fitness -48515 Error 3.333
Population 266 Fitness -48568 Error 1.818
Population 267 Fitness -48445 Error 2.121
Population 268 Fitness -48700 Error 1.515
Population 269 Fitness -48538 Error 2.424
Population 270 Fitness -48526 Error 2.727
Population 271 Fitness -48512 Error 2.727
Population 272 Fitness -48585 Error 2.424
Population 273 Fitness -48493 Error 3.030
Population 274 Fitness -48625 Error 3.030
Population 275 Fitness -48567 Error 1.818
Population 276 Fitness -48712 Error 3.030
Population 277 Fitness -48554 Error 1.818
Population 278 Fitness -48462 Error 2.121
Population 279 Fitness -48468 Error 2.727
Population 280 Fitness -48403 Error 2.424
Population 281 Fitness -48472 Error 2.424
Population 282 Fitness -48365 Error 3.636
Population 283 Fitness -48588 Error 3.333
Population 284 Fitness -47996 Error 3.030
Population 285 Fitness -48075 Error 1.818
Population 286 Fitness -48120 Error 2.121
Population 287 Fitness -47775 Error 2.424
Population 288 Fitness -47940 Error 1.818
Population 289 Fitness -47991 Error 3.333
Population 290 Fitness -48266 Error 2.727
Population 291 Fitness -47762 Error 2.424
Population 292 Fitness -47879 Error 2.121
Population 293 Fitness -47797 Error 2.727
Population 294 Fitness -47693 Error 2.121
Population 295 Fitness -47805 Error 3.030
Population 296 Fitness -48055 Error 2.424
Population 297 Fitness -47933 Error 3.636
Population 298 Fitness -47788 Error 2.727
Population 299 Fitness -47842 Error 2.727
Population 300 Fitness -47918 Error 3.030
Population 301 Fitness -47774 Error 1.515
Population 302 Fitness -47800 Error 2.424
Population 303 Fitness -47913 Error 3.636
Population 304 Fitness -47680 Error 2.424
Population 305 Fitness -47707 Error 2.424
Population 306 Fitness -47943 Error 2.424
Population 307 Fitness -47988 Error 3.333
